안타깝다;tiếc nuối
전시회;buổi triển lãm
중지하다;ngừng , dừng 
지참하다;mang đến
깜빡하다;lấp lánh, nhấp nháy
운전 면허증을 따다;lấy bằng lái xe
스케이트를 타다;trượt tuyết
신선하다;tươi mới
건조;khô ráo
화재 예방;dự phòng hoả hoạn
솔;bàn chải
칫솔;bàn chải đánh răng
실천하다;thực chiến
찍다;đóng dấu, chụp
간편하다;đơn giản
품질이 우수하다;chất lượng ưu việt
서적 보유;bảo lưu sách
알뜰하다;tiết kiệm(adj)
민감;mẫn cảm
재능이 있다;có tài
망치다;phá hỏng
밸브;van
방심하다;lơ là, lơ đễnh, bất cẩn
지름길;đường tắt
플러그;plugin
곱다 ~ 우아하다;đẹp, duyên dáng
소독을 하다;khử trùng
연고를 바르다;bôi thuốc mỡ
투명하다;trong xuốt
음식을 데우다;hâm thức ăn
중시하다;coi trọng
(시간의 명사) + 이내에;trong xuốt .... time
놓치다;bỏ lỡ
당일;trong ngày
주민;người dân
간경화;sơ gan
일부;một phần
감기을 앓다;bị cảm
병을 오래 앓다;bị bệnh lâu ngày
위독하다;nguy kịch
간 이식 수술;phẫu thuật cấy ghép gan
개최하다;tổ chức
부문;lĩnh vực
차지하다;chiếm giữ
상당하다;tương đương
선보이다;trình làng
환경부;bộ môi trường
체온을 조절하다;điều chỉnh nhiệt độ cơ thể
쾌적하다;dễ chịu, sảng khoái
짐승;thú vật
자랑하다;khoe khoang
개구리;con ếch
끈을 묶다;thắt dây
움직이다;chuyển động
(명사)에 따라 살펴보다;xem xét theo N
관심 대상이다;là đối tượng quan tam
(명사)에 지겨보다;nhìn / xem xét N
표면;bề mặt
고려하다;cân nhắc
자격증;giấy chứng nhận 
근무하다;làm việc
사회적 지위;địa vị xã hội
타인의 평가;bình luận of ng khác
복합적;phức hợp, kết hợp
자라나다;sinh trưởng, lớn lên
제멋대로;làm theo ý mình
성장하다;trưởng thành
자식을 야단치다;la mắng con cái
끼다;đeo
끼이다;bị mắc
절반을 넘다;chiếm một nữa
선정하다;tuyển chọn
이식하다;cấy ghép
앓다;bị bệnh
간경화를 앓다;bị sơ gan
걱정으로 골머리를 앓다;đau đầu vì lo lắng
"마땅히;một cách thoả đáng , 
một cách thích hợp"
기증하다;hiến tặng
숲길;đường rừng
이른바;sở dĩ gọi là
비중;tỉ trọng
(명사)에 발맞추다;bắt nhịp với N
신생아 = 아기;đứa trẻ
포대기;mền cho trẻ em
통증;triệu chứng đau
황소;bò vàng
게시;thông báo
유료;có phí
연못;ao sen
먹이;con mồi
악어;cá xấu
예로부터;từ xa xưa
여신;nữ thần
달이 뜨다;trăng lên
근무 조건;điều kiện work
보람이 있다;có ý nghĩa
선천적;tính thiên bẩm
타고나다;thiên bẩm
유전;di truyền
책임을 지다;có trách nhiệm
반성하다;tự suy xét
진열하다;trưng bày
유도하다;dẫn dắt
상황 = 사정;tình huống
입장료;phí nhập cửa
개성;cá tính
반복하다;lặp đi lặp lại
심사 대상;đối tượng thẩm định
새벽;sáng sớm
획일적;tính thống nhất
호소하다;kêu oan
선호하다 = 좋아하다;ưa thích
제자리;đúng vị trí
용돈;tiền tiêu vặt
(명사)에서 방해가 되다;gây ảnh hưởng tới N
체험하다;trải nghiệm
서두르다;nhanh chóng
제대로;theo bài bản
기찻길;đường ray xe lửa
고유하다;đặc trưng
필수적;tính cần thiết
정중히;trịnh trọng
어른;người lớn
존경하다;tôn kính
승객;hàng khách
고객;khách hàng
파괴하다;phá huỷ
귀신;ma
끊임없이;không ngừng nghỉ
획일;sự tiêu chuẩn hoá
균형;sự cân bằng
가지;cành, phe phái
로비;sảnh
품목;danh mục sp
망설이다 ~ 머뭇거리다;lưỡng lự do dự
자원;tài nguyên
호응;hộ ứng
(동사) + 았/었다가 + (...);làm .... rồi mới ....
지출하다;tiêu, xài
우승하다;chiến thắng
담기다;chứa đựng
뮤지켤;musical
색다르다;màu sắc mới mẻ
최초;sớm nhất
맛보다;nếm thử
번거롭다;rắc rối
소종하다;quý báu
운명;vận mệnh
조용하다;yên tĩnh
시끄럽다;ồn ào
비교하다;so sánh
가르다;phân biệt, chia, xẻ
오히려;ngược lại
첨부되다;đính kèm
원망하다;oán giận, oán trách
원만하다;dễ chịu, quảng đại
핵심적;tính trọng tâm
죽음;sự chết chóc
없애다;làm cho k còn
기억에 남다;để lại trong kí ức
규훈;giáo huấn
마음대로 하다;làm theo ý mình
대하다;đối xử
휴양;nghỉ dưỡng
상관없다;không liên quan
반영하다;phản ánh
확보하다;đảm bảo
석유;dầu
상승하다;tăng
예측하다;dự đoán
(으)ㄹ 거라고 예측하다;dự đoán rằng là sẽ...
수표;ngân phiếu
간격;khoảng cách
수시로;thường
담당자;người đảm nhận
홍수;lũ
기동;sự di chuyển
기둥;cột
강물의 속도;tốc độ nước sông
타조;đà điểu
섬유 유연제;nước xả vải
섬유;sợi
막;màng
씌우다;cho đội, đội lên, đậy lên
옷감;vải
소재;vật liệu
촉감;xúc cảm
거칠다;sần sùi, thô kệch
의존도;độ phụ thuộc
의존하다;phụ thuộc
(동사)는 것이 좋은 것만은 아니다;không phải cứ V là tốt
이전;di chuyển / trước đây
압도적;tính áp đảo
처리하다;xử lý
종이;giấy 
커튼;rèm
달다;mắc lên, đeo lên
특수하다;đặc thù
영역;lĩnh vực
제한하다;hạn chế
정체성;tính bản sắc
표지;bìa
상징하다;tượng trung
두깨;bề dày
자율적;tính tự do
발급 방식;phương thức cấp phát
장거리;đường dài, cự li dài
추측하다;dự đoán
언급하다;đề cập
부상당하다 = 다치다;bị thương
상처;vết thương
사례;ví dụ điển hình
자원을 아끼다;tiết kiệm tài nguyên
거창하다;to lớn, khổng lồ
빠져들다;rơi vào
식령;lượng lương thực
대비하다;đối phó, đối sánh
홍보하다;quảng bá
씨앗;hạt
수집하다;thu thập
저장고;kho lưu trữ
해롭다 ~ 해치다 >< 이롭다;gây hại >< có lợi
거부하다 ~ 거절하다;từ chối
원활하다 ~ 수월하다;dễ dàng, suôn sẻ
손뼉을 치다;vỗ tay
고개를 끄덕이다;gật đầu
기록하다;ghi chép
여부;có hay k
사용 여부;có sd hay k
지나치다;thái quá
집착하다;vấn vương
결코;tuyệt đối
잇다;tiếp nối
운영하다;vận hành
조종하다;điều khiển
산길;đường núi
빠져나오다 / 빠져나가다;thoát ra
달려가다;chạy đi
여기다;cho rằng, coi là
짖다;sủa
옮기다;chuyển đồ
짐을 싣다;chất hành lý
요소 ~ 요인;yếu tố
사고을 당하다;bị sự cố
교체하다 ~ 대체하다 ~ 대치하다 ~ 바꾸다;thay thế
밝히다;làm sáng tỏ
바롯하다 ~ 기인하다 ~ 유래하다;bắt nguồn
성취하다 ~ 이루어지다;đạt được
쇄도하다;dồn dập
예상하다;dự đoán
추상적;tính trừu tượng
끌어내다;lôi ra
추위에 맞다;chịu cái lạnh
무리;bầy đàn
동글다;tròn
매섭다;dữ tợn
떨다;run
추위에 떨다;run vì lạnh
느리다;chậm
찬바람;gió lạnh
전력;chiến lược
기대;mong đợi
기대에 미치다;đạt được mong đợi
흥미;hứng thú
내세우다;đưa ra, đề ra
주목받다;nhận được sự chú ý
자극하다;kích thích
이어지다;được tiếp nối
자존감 ~ 자긍심 ~ 자존심;lòng tự tôn
박탈하다;cướp đoạt
상대적;tính tương đối
인하다;vì, bởi, tại
이겨내다;chiến thắng
심각해지다;trở lên trầm trọng
예산;kinh phí
정신 건강;sức khoẻ tinh thần
소실하다;mất mát, thua lỗ
부득이하다;bất đắc dĩ
모르게 + (동사);làm V một cách vô thức
무시하다 ~ 경시하다;coi thường
성수기 >< 비수기;mùa cao điểm >< mùa thấp điểm
세련되다;tinh tế
보완하다;bổ sung
드러내다;làm hiện ra
드러나다;hiện ra
그려지다 (그리다);được vẻ
잘려나가다 (자르다);cắt ra
새기다;khắc
새겨지다;được khắc
착안하다 ~ 강조하다;nhấn mạnh
안전유리;thuỷ tinh an toàn
겹치다;chồng chất
꺼리다;ngại
입히다;mặc cho
주목하다;được chú ý
활발히;một cách hoạt bát
등장하다;xuất hiện
가리키다;chỉ trỏ, phê phán
끝없이;không end
정립하다;xác lập, định ra
적립하다;tiết kiệm 
시도하다;thử nghiệm
자외선 차단 기능;khả năng chặn tia UV
노출하다;lộ ra
필요조건;điều kiện cần
충분조건;điều kiện đủ
갖추다;có, trang bị
천연;thiên nhiên
빈약하다;thiếu thốn
세균;vi khuẩn
오염되다;bị ô nhiễm
세균으로 오염되다;bị ô nhiễm do vi khuẩn
감염;sự lan nhiễm
띄다;hiển hiện, vểnh
떠올리다;nhớ ra
가운데;giữa
가운;áo Blouse
창작;sáng tác
성충;ấu trùng trưởng thành·
애벌레;ấu trùng
유용되다;bị sử dụng trái phép
간소화하다;đơn giản hoá
몰래;lén lút
타인 ~ 남;ng khác
요약형 정보;thông tin được tóm tắt
습득하다;thu thập, nhận được, tiếp thu
효율적이다;tính hiệu quả
초래하다;dẫn dến
저하;sự giảm xút
사고력;năng lực tư duy
처리하다;xử lý
정돈되다;được chỉnh đốn
분석하다;phân tích
비핀적으로;tính phê phán
무뎌지다;trở nên cùn
무디다;cùn, lì
폭발적;tính bùng phát
체계;hệ thống
창작열;nhiệt sáng tác
영역;lĩnh vực
제약 ~ 제한 ~ 한계 ~ 지양;hạn chế, giới hạn
정체하다 ~ 침체하다;đình trệ
응용하다;ứng dụng
고유;đặc trưng
태양계;thái dương hệ
소행성;tiểu hành tinh
희박하다;loãng, nông, hời hợt
탐사하다;khám phá, thám hiểm
기울이다;nghiên, lệch
천문학적이다;mang tính thiên văn học
채취하다;đánh bắt
머무르다;để lại ,ở lại
마무리하다;end
시료;mẫu thử
논의;hội ý
불경기 ~ 불황;khủng hoảng kinh tế
비합리적이다;tính bất hợp lý
근로자;người lao động
저축하다;tiết kiệm
경기;nền kinh tế
소득;thu nhập
생산;sản xuất
고용;việc thuê lao động
적절하다;tương xứng
초래하다;dẫn đến
불확실하다;không chắc chắn
되풀이되다;lặp đi lặp lại
수정하다;sửa
조정하다;sửa
참치 = 삼치;cá ngừ
방지하다;phòng tránh
포획;đánh bắt
무분별하다;vô phân biệt
도입하다;đưa vào
배정되다;được phân bổ
급격히;một cách nhanh chóng
가로등;đèn đường
보안등;đèn bảo vệ
쾌적하다;sảng khoái, thoải mái
청결하다;thanh khiết
구성되다;được cấu thành
흥미롭다;hứng thú
돋보이다;nổi bật
지적하다;chỉ trỏ, phê phán
세태;xu hướng
태세;tư thế
수십년;hàng chục năm
수백년;hàng trăm năm
수만년;hàng vạn năm
각박하다;lạnh nhạt, vô tâm
학도;học trò
금화;đồng vàng
은화;đồng bạc
손실이 크다;tổn thất lớn
훼손하다;phá hoại
테두리;viền
훼손되다;bị tổn thương
사각지대;vùng tầm khuất
대록;đại lục
둘러싸이다;bao bọc xung quanh
지중해;địa trung hải
손꼽히다;đếm trên đầu ngón tay
(동사)기가 좋다;lý tưởng cho việc V
훼손;việc làm tổn thương
퇴적층;lớp trầm tích
증발하다;cô đọng, bóc hơi
의무화하다;nghĩa vụ hoá
정밀하다;tính sảo
침입하다;xâm nhập
재현하다;tái hiện
괴롭다;đau khổ
등장하다;xuất hiện
망치다;phá huỷ
마치다;kết thúc
미치다;đạt được, gây ra, điên
추락;rơi
안전벨트;dây an toàn
전원;toàn viên / nguồn điện
목숨을 건지다;cứu vớt mạng sống
침묵을 깨다;phá vỡ sự im lặng
출마;sự ra ứng cử
부인하다;phủ nhận
대통령;tổng thống
선거;bầu cử
우주선;tàu vũ trụ
귀환;sự quay về
성큼;ào ạt
출산율;tỷ lệ sinh sản
하락;sự giảm xút
대책;đối sách
치중하다;chú trọng
뒷전;phần sau
미지소;ẩn số
안정;sự ổn định
정상;bình thường
공장;nhà máy
기지개;sự vươn mình
교통 체증;tắc nghẽn giao thông
체증;sự tắt nghẽn
몸살을 앓다;đau mỏi cơ thể
사로잡다;nắm bắt
시청률;tỉ lệ xem đài
한류;làng sóng hanlyu
시청자;người xem đài
줄을 잇다;nối đuôi
배추;cải thảo
과잉;quá độ
한숨;sự thở dài
화창하다;ấm áp, ôn hoà
빗방울;hạt mưa
방울;hạt, chuông
불붙다;châm lửa, sôi sục, khơi dậy
추월하다;vược mặt
가파르다;dốc đứng, tăng cao
들썩이다;nhấp nhô
급증하다;tăng đột biết
급락하다;giảm đột biết
딱;vừa khớp
대피하다;lánh nạn
드물다;hiếm
이륙하다;cất cánh
착륙하다;hạ cánh
뿌듯하다;tự hào, hãnh diện, sung sướng
데려가다;dẫn đi
잔소리;tiếng lèm nhèm
긁히다;bị cào , bị cấu
당분간;tạm thời
사방;tứ phương
새삼;mới mẻ
제대로;bài bản
고통스럽다;đau khổ
이끌리다;lôi kéo
꽃씨;hạt hoa
싹이 트다;nảy mầm
심다;trồng
때맞추다;điều chỉnh đúng lúc
들여다보다;nhìn kỹ
들여오다;mang vào
들여가다;mang vào
들여놓다;cho vào
여리다;mềm,mềm yếu
띄다;hiện lên, vểnh
도대체;tóm lại thì
피다 >< 지다;nở >< tàn
무순;bừa bãi
위로;sự an ủi
굵다;lớn
씩씩하다;hiên ngang, mạnh dạn
창고;kho
선반;cái kệ
일기장;sổ nhật ký
반갑다;hân hoan
툭;toạt
펼치다;bày ra
왈칵;ào, ồ, ầm
무덥다;nóng, oi bức
연설;diễn thuyết
깨닫다;nhận ra
나서다;đứng ra
고이다;cô đọng
나아가다;tiến lên phía trước
내놓다;đặt ra
가늘다;mềm dẻo yếu ớt
불쌍하다;đáng thương
엄격하다;nghiêm khắc
부러지다;bị gãy
엄청나다;ghê gớm
엉뚱하다;lạ lẵm
짙다;đậm
커다랗다;to lớn
푸르다;màu xanh ngát
훌륭하다;thông minh, giỏi
흔하다;nhiều
아무튼;dù thế nào cũng ..
어느새;thoáng đã
어쨌든;dù thế nào cũng ..
어쩌면;biết đâu
여전히;vẫn
일단;đầu tiên
거래;giao dịch
폭우;mưa lớn
추가하다;thêm vào
시청률;tỉ lệ xem đài
베스트셀러;best seller
흔적 ~ 자국 ~ 기척;dấu vết
두근거리다;đập thình thịch
소방관;lính cứu hoả
혈액형;nhóm máu
천장;trần nhà
액자;khung ảnh
필름;tấm phim
모래;cát
시도하다;thử nghiệm
접수하다;tiếp thu
신고;thông báo
건전하다;lành mạnh
누르다;nhấn
막심하다;trầm trọng, nghiêm trọng
관대하다;quảng đại
공금 횡령;biển thủ công quỹ
횡령하다;biển thủ, tham ô
주가 조작;thao túng giá cổ phiếu
초창기;thời kì đầu
판독;sự giải mã
심판;phẩm phán, trọng tài
득점;ghi điểm
융통성;tính lưu thông
수온;nhiệt độ nước
연안;ven biển, ven ao, ven hồ
악순환;vòng lẫn quẩn
근로자;người lao động
광물;khoáng vật
배설물;chất cặn bả bài tiết (shit)
분해하다;phân giải
효소;enzym
해독하다;giải độc, giải mã
풍성하다;phong phú
독성;độc tính
나뭇잎;lá cây
유칼립투스;cây bạch đàn
코알라;koala
편찬하다;biên soạn
인용하다;dẫn chứng
논평;luận bình
탐색하다;tìm hiểu, tìm kiếm
검색하다;tìm kiếm, tra cứu
참고하다;tham khảo
백과사전;từ điển bách khoa
선비;nhà học giả, học sĩ
생육;sự sinh dưỡng
혈당;đường huyết
품종;loại sản phẩm
열매;trái, thành quả
당뇨;bệnh tiểu đường
함유;hàm chứa
차단하다;ngăn chặn
선글라스;kính râm
꽃망울;chồi hoa
길쭉하다;tương đối dài
금잔화;cúc vạn thọ
떨리다;run rẩy
데우다;hâm nóng
무리;bầy đàn
참다 ~ 견디다;chịu đựng
겹겹이;tầng tầng lớp lớp
처리하다;xử lý
압도적;tính đáp đảo
발소리;tiếng bước chân
미흡;chưa đầy đủ
자체;tự thể
하반기;6 tháng cuối năm
상반기;6 tháng đầu năm
감지하다;cảm nhận
감수하다;chịu đựng
억양;ngữ điệu
어차피;dù sao thì
은혜;ân huệ
묵묵히;một cách lầm lỳ
쿠키;cookie
반죽;nhào bột
오븐;cái lò
폐어;phổi cá
말다툼;sự cãi lộn
대처하다;ứng phó
표출하다;biểu lộ
끼치다;gây ra
쑥스럽다;ngại ngùng
시집;nhà chồng
고정;cố định
진입하다;tiến nhập
따지다;tính toán
간직하다;bảo quản
안착시키다;khiến cho hạ cánh an toàn
부착하다;dán
수행하다;thực hiện
임무;nhiệm vụ
탑재하다;chở
관장하다;quản lý
관측하다;dự đoán, quan sát
정교하다;tinh sảo
실리다;đăng lên, đưa lên
집다;nhổ, gắp
철저히;một cách kỹ lưỡng
발사하다;phóng
위성;vệ tinh
상공;không trung
로켓;tên lửa
촉구하다;kêu gọi
한계;hạn chế
경계하다;phòng bị, cảnh giác
시급하다;nhanh chóng
무색하다;ngượng
취지;ý nghĩa
선임되다;được bổ nhiệm
검증하다;kiểm chứng
전문성;tính chuyên môn
견제하다 = 절제하다;kiềm chế
정착하다;định cư
경영진;ban điều hành
이사회;hội đồng quản trị
외부;bộ phần ngoài
실효성;tính thực dụng
법제화되다;được pháp chế hoá
건실하다;lành mạnh
중앙 부분;bộ phận trung tâm
가장자리;phần rìa
풍미;hương vị
풍미하다;gây ảnh hưởng
분해되다;được phân giải
포도당으로;thành đường glucozo
전분;tinh bột
수증기;hơi nước
밀폐하다;niêm phong
압력;áp lực
솥을 덮다;đậy nồi
가마솥;nồi gang lớn
무쇠;gang
인내;nhẫn nại
수분;độ ẩm
끌;cái đục
일꾼;người lao động
결정;quyết định
정육면체;khối lập phương
거두다;đạt được
칸;ngăn, chổ trống
칸막이;vách ngăn
갯벌;bãi bồi
드넗다;rộng ra
염전;ruộng muối
장인;bố vợ
더미;đống chồng
설산;núi tuyết
덮이다;được đậy
연회를 베풀다;khai bữa tiệc
연회 = 잔치 = 파티;bữa tiệc
접견하다;tiếp cận
텐트;lều
순위;thứ hạng
메달;huy chương
저조하다;giảm xút
시작점;điểm bắt đầu
동요;giao động
책을 내다;xuất bản sách
현실감;cảm giác hiện thực
제작하다;chế tác
끝에;kết thúc
교정하다;hiệu chỉnh
출시하다;xuất thị
법인;pháp nhân
검거;sự giam
대응력;năng lực đối ứng
훈련;huấn luyện
인력;nhân lực
씁쓸하다;cay đắng
해로류;tảo biển
미역국;canh rong biển
아열대 생물;sv cận nhiệt đới
공동으로;sống bầy đàn
팀을 꾸리다;lập team
어종;chủng loại cá
분포;phân bổ
번호판;biển số xe
식별;phân biệt
번호판을 달다;treo biển số
부착하다;dán
미루다;hoãn
압박하다;áp bức
악화되다;trở nên tồi tệ
태국 마크를 달다;mang biểu tượng ....
추세하다;xu thế
조성하다;tạo thành
비슷비슷하다;giống
빽빽하다;đầy đặn
심다;trồng
차별;phân biệt
시간을 갖다;có tgian
아늑하다;ấm áp
간호하다;điều dưỡng, chăm sóc
희망하다;hi vọng
보육원;trại trẻ mồ côi
퇴소;nghỉ việc/ xuất viện
자립하다;tự lập
첨부하다;đính kèm
보조하다;bảo trợ
보충하다;bổ xung
정착금;tiền định cư
별돌;cục gạch
미세 먼지;bụi siêu nhỏ
창틀;khung cửa sổ
달래다;an ủi
위상;vị thế
근대화되다;được cận đại hoá
즉위;sự lên ngôi
즉위하다;lên ngôi
경축하다;chúc mừng
막심하다;trầm trọng, nghiêm trọng
고리;móc xích
풍경이 담기다;để lại phong cảnh
균형을 잡다;giữ cân bằng
간격;khoảng cách
대피하도록 하였다;lánh nạn
폐교가 되다;đóng cửa trường
위기에서 벗어나다;thoát khỏi khủng hoảng
눈을 딱 감다;nhắm mắt cho qua
머리를 맞대다;chụm đầu bàn bạc
손에 땀을 쥐다;giữ mồ hôi trên tay
속 터지다;đau lòng, nức nẻ bên trong
모처럼;hiếm
사방을 잘 살피다;quan sát tứ phương
건네다;trao
후들후들 떨리다;run lẩy bẩy
무사히 돌아오다;về an toàn
기대 고조;kì vọng lớn
지지부진하다;đình trệ
수렁에 빠지다;đình trệ
비추다;rọi, chiếu 
현장감이 있다;có cảm giác ở hiện trường
가락;giao điệu
다채롭다;đa thể, phong phú
악보대로;theo bản nhạc
독주;độc tấu
스며들다;thấm vào
스미다;thấm
침투하다;thấm
유통 방식;phương thức lưu thông
시간을 들이다;tốn tgian
톱니 모양;hình dạng răng cưa
생장이 빠르다;sinh trưởng nhanh
갈라지다;nứt 
인공지능;AI
인공강우;mưa nhân tạo
무성하다;um tùm
채광을 가리다;lấy ánh sáng
건강세;thuế sức khoẻ
에 부과하다;đánh thuế
청년세대;thời đại trẻ
섬유질;chất sơ
고유;đặc trưng
지치다;mệt
위조를 맞다;nguỵ tạo
자갈;sỏi
골재;vật liệu xd
과다하다;quá đà
골짜기;thung lũng
일화;giai thoại
따스하다;ấm áp
위로를 건네다;trao an ủi
지친 삶;cuộc sống tẻ nhạt
못마땅하다;không hài lòng, không thoả
마땅하다;hài lòng
대견하다;đáng khen
(으)로 여겨지다;được cho rằng
제자리를 확고히 하다;giữ vững vị trí
척박하다;cằn cỗi, khô khan
걸치다;treo lơ lững
전승하다;kế thừa
원형;nguyên hình
비상등;đèn cảnh báo
연마하다;rèn luyện, mài dũa
명맥;yếu tố sống còn / truyền thống
파급 효과;hiệu quả lan truyền
교툥량;lượng giao thông
감촉;cảm xúc
전방위적이다;mang tính toàn diện
미혼 >< 기혼;đã kết hôn >< ch kết hôn
얽히다;bị quấn rối
방위;phương vị
육아;việc nuôi dạy con cái
포근하다;ấp ám
승진하다;tiến chức, thăng tiến
업무가 많다;nhiều việc
해가 뜨다/지다;mặt trời lên / lặn
환하게 웃다;cười sảng khoái
오래 지나지 않다;không lâu
현재보다 더 나는 미래;tương lai tốt hơn so với hiện tại
측정하다 = 재다;đo lường
횟수;số lần
경고하다;cảnh báo
경고음;âm cảnh báo
경고음나다;phát ra âm thanh cảnh báo
겉;bên ngoài
지속적으로 ~ 계속;liên tục
인공;nhân tạo
환하다;sáng sủa, rạng rỡ
발전해 나가다;phát triển hơn
담겨 있다;đang để lại
소화가 잘하다;tiêu hoá tốt
담당하다;đảm nhận, phụ trách
결석;vắng
출석;không vắng
유무 = 여부;có hay không
여분;phần dôi ra
두드러지다;nổi danh
신상;lý lịch
마구잡이;bừa bãi
선점하다;chiếm trước
정작;thực tế
대가;sự chờ đợi
참되다;đúng đắn, thật thà
물속에 가라않다;chìm trong nước
외부의 물리적 자극;kích thích mang tính vật lý từ bên ngoài
세균;vi khuản
항균;kháng khuẩn
저항하다;đề kháng
체내;trong cơ thể
신체에 해롭다;gây hại tới cơ thể
표존시;giờ tiêu chuẩn
의료용;đồ dùng y tế
산업용;đồ dùng công nghiệp
(으)로 만들어지다;được làm ra để ...
원천적;tính nguồn gốc
신상 정보;thông tin cá nhân
무뎌지다;trở nên cùn
무디다;cùn, chai lì
저하하다;giảm xút
사고력이 저하하다;giảm khả năng tư duy
꽃가루 알레르기;dị ứng phấn hoa
코막힘;nghẹt mũi
끈적이다;khát khao
분비물;chất bài tiết
과음하다;quá chén
중추;trung tâm
음주;việc uống rượu
정돈되다;được chỉnh đốn
사고력 저하를 초래하다;gây ra giảm khả năng tư duy
마취제;thuốc gây mê
수면제;thuốc ngủ
억제제;thuốc ức chế
발생률;tỉ lệ phát sinh
중추 신경;thần kinh trung ương
기분 향상;nâng cao tinh thần
관성 효과;hiệu quả quán tính
수면 관성 효과;hiệu quả quán tính giấc ngủ
잠을 못 이루다;không thể ngủ
불면증;chứng mất ngủ
불면증을 유발하다;gây ra mất ngủ
부작용을 낳다;gây ra tác dụng phụ
정오;chính ngọ, giữa trưa
에 따라 구분되다;được phân loại theo ...
부작용이 생기다;sinh ra tác dụng phụ
모기에 물리다;bị muỗi cắn
숨지다;tắt thở
숨쉬다;thở
진드기에 물리다;bị rặn cắn
물려 숨지다;cắn đến chết
풀;cỏ
